部會/來源,分類,文件用途,檔案類型,檔名,大小KB,本機相對路徑,母本來源
交通部,,補助要點/作業規範,PDF,交通部「加速推動地方創生計畫-地方創生觀光旅遊環境營造」計畫執行注意事項.pdf,1463.6,files/交通部/交通部「加速推動地方創生計畫-地方創生觀光旅遊環境營造」計畫執行注意事項.pdf,/Users/junghanchiu/2026 Data base/知識庫/地方創生資料庫/政府資源/地方創生資源計畫總及（工具包）/交通部/交通部「加速推動地方創生計畫-地方創生觀光旅遊環境營造」計畫執行注意事項.pdf
交通部,,其他參考文件,ODF 文字,交通部觀光局補助各縣市政府觀光工程生態檢核作業方案.odt,29.0,files/交通部/交通部觀光局補助各縣市政府觀光工程生態檢核作業方案.odt,/Users/junghanchiu/2026 Data base/知識庫/地方創生資料庫/政府資源/地方創生資源計畫總及（工具包）/交通部/交通部觀光局補助各縣市政府觀光工程生態檢核作業方案.odt
交通部,,其他參考文件,ODF 文字,交通部觀光局配合國家發展委員會-「加速推動地方創生計畫」地方創生觀光旅遊環境營造.odt,17.5,files/交通部/交通部觀光局配合國家發展委員會-「加速推動地方創生計畫」地方創生觀光旅遊環境營造.odt,/Users/junghanchiu/2026 Data base/知識庫/地方創生資料庫/政府資源/地方創生資源計畫總及（工具包）/交通部/交通部觀光局配合國家發展委員會-「加速推動地方創生計畫」地方創生觀光旅遊環境營造.odt
交通部,,補助要點/作業規範,PDF,交通部觀光署及所屬國家風景區管理處補助機關(構)團體辦理觀光活動或計畫相關作業規定暨經費申領作業表件 .pdf,549.5,files/交通部/交通部觀光署及所屬國家風景區管理處補助機關(構)團體辦理觀光活動或計畫相關作業規定暨經費申領作業表件 .pdf,/Users/junghanchiu/2026 Data base/知識庫/地方創生資料庫/政府資源/地方創生資源計畫總及（工具包）/交通部/交通部觀光署及所屬國家風景區管理處補助機關(構)團體辦理觀光活動或計畫相關作業規定暨經費申領作業表件 .pdf
交通部,,計畫書格式/範本,ODF 文字,地方創生觀光旅遊環境營造工作計畫書.odt,26.2,files/交通部/地方創生觀光旅遊環境營造工作計畫書.odt,/Users/junghanchiu/2026 Data base/知識庫/地方創生資料庫/政府資源/地方創生資源計畫總及（工具包）/交通部/地方創生觀光旅遊環境營造工作計畫書.odt
交通部,,計畫書格式/範本,Word,臺灣特色觀光活動品質提升計畫申請補助計畫書撰擬格式參考 .doc,108.0,files/交通部/臺灣特色觀光活動品質提升計畫申請補助計畫書撰擬格式參考 .doc,/Users/junghanchiu/2026 Data base/知識庫/地方創生資料庫/政府資源/地方創生資源計畫總及（工具包）/交通部/臺灣特色觀光活動品質提升計畫申請補助計畫書撰擬格式參考 .doc
內政部,,核定本/政策計畫,Word,1131106 城鎮風貌及創生環境營造計畫補充說明資料及評分標準(政策型).docx,26.3,files/內政部/1131106 城鎮風貌及創生環境營造計畫補充說明資料及評分標準(政策型).docx,/Users/junghanchiu/2026 Data base/知識庫/地方創生資料庫/政府資源/地方創生資源計畫總及（工具包）/內政部/1131106 城鎮風貌及創生環境營造計畫補充說明資料及評分標準(政策型).docx
內政部,,申請須知/作業須知,PDF,1131106_114年度政策引導型補助作業須知(含補充規定及審查標準).pdf,1017.9,files/內政部/1131106_114年度政策引導型補助作業須知(含補充規定及審查標準).pdf,/Users/junghanchiu/2026 Data base/知識庫/地方創生資料庫/政府資源/地方創生資源計畫總及（工具包）/內政部/1131106_114年度政策引導型補助作業須知(含補充規定及審查標準).pdf
內政部,營建署,計畫書格式/範本,PDF,城鎮風貌及創生環境營造計畫（110-115 年)核定本(計畫書).pdf,3813.5,files/內政部/營建署/城鎮風貌及創生環境營造計畫（110-115 年)核定本(計畫書).pdf,/Users/junghanchiu/2026 Data base/知識庫/地方創生資料庫/政府資源/地方創生資源計畫總及（工具包）/內政部/營建署/城鎮風貌及創生環境營造計畫（110-115 年)核定本(計畫書).pdf
勞動部,多元就業培力,申請表件/表格,Word,02-5培力就業計畫114年度申請相關表格.doc,426.0,files/勞動部/多元就業培力/02-5培力就業計畫114年度申請相關表格.doc,/Users/junghanchiu/2026 Data base/知識庫/地方創生資料庫/政府資源/地方創生資源計畫總及（工具包）/勞動部/多元就業培力/02-5培力就業計畫114年度申請相關表格.doc
