orgName,planName,closed,applyTarget,planSubject,planResType,planLink,resourceCount,resourceNames,resourceLinks,uid,planContent
衛生福利部,長照社區共生互助計畫補助作業要點,False,"local-government,","public-construction,","environment-construction,",https://drive.google.com/file/d/1rG_0s_ycE1SX_snn8NXLXyR38UyMwrNm/view,0,,,8ce27281-8596-419a-8891-85a6a7b3053e,透過串連社區長照機構與長照家庭，創造在地機構與居民互相照顧、互助生活之價值，並提升家庭照顧者個人自我價值，培育社區內長期照顧服務潛在人力，規劃於長照服務資源不足地區推動長照社區共生互助服務機制，輔導長照家庭之照顧者，能陪同使用社區服務之長輩於社區式長照機構提供勞務，強化照顧者照顧及其他知能，且期望提升長照機構培育或輔導長照家庭之照顧者取得照顧服務員認證之意願。
農業部,115 年青年回鄉行動獎勵計畫,False,"personal,","public-construction,","talent-cultivation,",https://www.ardswc.gov.tw/Home/News/news_more?id=3d399cb1373e4fccbf208304b5ee3612,0,,,91da6152-1d82-4ee0-b63f-4ddf5ea33730,為鼓勵關心農村發展的青年導入創意構想解決農村相關議題，由青年個人提出行動計畫發揮社會影響力，並尋求可行且具在地適切性的永續經營模式，創造農村三生新價值，以達青年返回農村並留下來服務農村之目標，特訂定本獎勵計畫。
交通部,地方創生觀光旅遊環境營造（觀光建設類）,False,"people-team,","travel,","environment-construction,",https://reurl.cc/9Ddq8x,0,,,ab661ece-fa6c-43d8-b13e-3af203b47d2b,補助地方政府等打造魅力景點、完善優質旅遊環境，追求觀光永續發展。
文化部,文化部暨所屬文化資產局補助地方創生計畫,False,"enterprise,local-government,people-team,","cultural-history,","environment-construction,",https://grants.moc.gov.tw/Web/PointDetail.jsp?__viewstate=humCmq428VCgRsrb7EaY6WqyVvLYYbrQ7oJCOHz4L408lIe/efs7z+WTtc3mBJBkYvZhpy/Mg9Q=,0,,,5fdada8e-1a54-4617-af31-ae39a3911a4f,針對地方政府與民間組織提出之「地方創生文化事業發展計畫」或「結合有形或無形文化資產推動地方創生有關之計畫」提供資源挹注，以協助地方建構整體文化環境，創造在地就業機會，促進地方人口回流，達成保存並活絡在地文化資源，特訂定本規範
文化部,2025年文化部第1屆百大文化基地徵選獎勵,False,"people-team,","cultural-history,","plan-restype-other,",https://communitytaiwan.moc.gov.tw/Item/Detail/%E6%96%87%E5%8C%96%E9%83%A8%E7%AC%AC%E4%B8%80%E5%B1%86%E7%99%BE%E5%A4%A7%E6%96%87%E5%8C%96%E5%9F%BA%E5%9C%B0%E5%BE%B5%E9%81%B8%E7%8D%8E%E5%8B%B5%E7%B0%A1%E7%AB%A0,0,,,0a977177-7f05-4f2c-b8e4-27aea5c3c653,為推廣社造30年來累積的成果，同時整合本（文化部前瞻及黑潮等計畫支持的再造歷史現場、地方藝文館所等資源， 故提出「百大文化基地」政策，透過公私協力及百大文化基地徵選 ，共同爬梳各地不同領域的文化歷史脈絡及特色故事，發展各類文化主題，打造全民共創、共享，具歷史脈絡及文化內涵的百大文化基地 以下簡稱基地 ）），以故事力讓臺灣「天天都是文化日、人人都是文化人」，進而強化臺灣文化主體性。
環境部,推動資源循環地方創生計畫,False,"enterprise,local-government,people-team,","industry-technology,","plan-restype-other,",https://oaout.moenv.gov.tw/law/NewsContent.aspx?id=43607,0,,,77a1ddb0-7b85-4054-a00d-a66a2efbe73d,環境部資源循環署為配合國家發展委員會「打造永續共好地方創生計畫（一百十四年至一百十七年）」，推廣地方資源循環理念，扶植具地方特色之資源循環產業、綠色設計、創新資源循環技術及商業模式，以增加地方相關就業機會，帶動人口回流，促進在地資源循環產業及地方創生之發展，特訂定本要點。
國家發展委員會,114年度補助地方創生青年培力工作站,False,"enterprise,people-team,","public-construction,","talent-cultivation,",https://www.twrr.ndc.gov.tw/InActivityInformation/6c66894a-8fd6-48e6-b6d7-c8deffb4f749,0,,,2af15cbf-62e7-4d39-b1cc-b98a55449ca1,國家發展委員會（以下簡稱本會）為營造青年留鄉、返鄉創業支援體系，陪伴輔導青年開創地方創生事業，促進地方產業發展及媒合青年團隊在地扎根，補助建置地方創生青年培力工作站所需人事費及業務費。
教育部,114年青聚點地方創生人才培育獎勵計畫,False,"enterprise,people-team,","plan-subject-other,","talent-cultivation,",https://www.yda.gov.tw/plan.aspx?p=1056,0,,,b22f425f-63a8-432a-aadf-385f0cc069f8,透過招募長期在地深耕的民間組織成為「青聚點」，運用行動場域及推動經驗，培育青年參與地方事務「從0到1」的能力與意願，鼓勵青年參與地方創生，協助了解如何參與社區，建立在地行動與地方創生的基礎觀念，並提供青年在地蹲點的機會，透過實作發展出行動方案，逐步養成青年具備後續銜接各部會地方創生行動計畫的能力，投入地方創生工作。
海洋委員會,推動海洋地方創生與產業活絡及永續經營徵件計畫,False,"enterprise,local-government,people-team,","plan-subject-other,","management-counseling,","https://www.oac.gov.tw/ch/home.jsp?id=67&parentpath=0,6&mcustomize=bulletin_view.jsp&dataserno=202409270002",0,,,87614473-5d9c-46c3-b7c1-7a259ef03b53,協助在地發掘海洋特色資源與文化發展、落實海洋永續推動生態旅遊、海域空間規劃及設施活化、既有產業加值提升以建立在地品牌、海廢資源循環再利用、創造地方就業機會吸引青年返鄉。
農業部,農村社區綠色照顧計畫,False,"people-team,","public-construction,country-farming,","environment-construction,plan-restype-other,",https://www.ardswc.gov.tw/,1,農村社區綠色照顧計畫徵件說明,https://www.twrr.ndc.gov.tw/core-api/resource/repo/2024/1701830310.pdf,d8c5a0b1-7429-4ed1-90e8-dd43ee4058e7,推動農村社區綠色照顧工作，包括綠場域、綠飲食、綠療育及綠陪伴四方面，以照顧農村高齡者，促進健康老化，鼓勵導入青壯年人力，並結合其他機構形成綠色照顧服務網絡。
